Source,Target
java.net.URI,java.lang.Long$LongCache
java.lang.CharSequence,java.lang.Long$LongCache
java.io.PrintWriter,java.lang.Long$LongCache
java.lang.Throwable,java.lang.Long$LongCache
java.lang.Object,java.lang.Long$LongCache
java.util.Locale,java.lang.Long$LongCache
java.io.ObjectInputStream$GetFieldImpl,java.lang.Long$LongCache
java.net.URL,java.lang.Long$LongCache
java.lang.String,java.lang.Long$LongCache
java.io.ObjectInputStream,java.lang.Long$LongCache
java.lang.Long,java.lang.Long$LongCache
java.io.ObjectStreamClass,java.lang.Long$LongCache
java.lang.Class,java.lang.Long$LongCache
java.net.URI,java.io.ObjectInputStream$HandleTable$HandleList
java.lang.CharSequence,java.io.ObjectInputStream$HandleTable$HandleList
java.io.PrintWriter,java.io.ObjectInputStream$HandleTable$HandleList
java.lang.Throwable,java.io.ObjectInputStream$HandleTable$HandleList
java.util.Locale,java.io.ObjectInputStream$HandleTable$HandleList
java.lang.Object,java.io.ObjectInputStream$HandleTable$HandleList
java.net.URL,java.io.ObjectInputStream$HandleTable$HandleList
java.lang.Class,java.io.ObjectInputStream$HandleTable$HandleList
java.lang.String,java.io.ObjectInputStream$HandleTable$HandleList
java.io.ObjectInputStream$HandleTable,java.io.ObjectInputStream$HandleTable$HandleList
java.io.ObjectInputStream,java.io.ObjectInputStream$HandleTable$HandleList
java.net.URI,java.util.jar.JarVerifier$VerifierCodeSource
java.io.ObjectStreamClass$EntryFuture,java.util.jar.JarVerifier$VerifierCodeSource
java.io.PrintWriter,java.util.jar.JarVerifier$VerifierCodeSource
java.lang.Throwable,java.util.jar.JarVerifier$VerifierCodeSource
java.lang.Object,java.util.jar.JarVerifier$VerifierCodeSource
java.util.Locale,java.util.jar.JarVerifier$VerifierCodeSource
java.security.AccessControlContext,java.util.jar.JarVerifier$VerifierCodeSource
java.io.ObjectInputStream$GetFieldImpl,java.util.jar.JarVerifier$VerifierCodeSource
java.net.URL,java.util.jar.JarVerifier$VerifierCodeSource
java.security.ProtectionDomain,java.util.jar.JarVerifier$VerifierCodeSource
java.lang.String,java.util.jar.JarVerifier$VerifierCodeSource
sun.misc.Unsafe,java.util.jar.JarVerifier$VerifierCodeSource
sun.misc.URLClassPath,java.util.jar.JarVerifier$VerifierCodeSource
java.util.jar.JarVerifier,java.util.jar.JarVerifier$VerifierCodeSource
sun.security.util.Debug,java.util.jar.JarVerifier$VerifierCodeSource
java.lang.Thread,java.util.jar.JarVerifier$VerifierCodeSource
java.io.ObjectStreamClass,java.util.jar.JarVerifier$VerifierCodeSource
java.math.BigInteger,java.util.jar.JarVerifier$VerifierCodeSource
java.util.jar.JarFile,java.util.jar.JarVerifier$VerifierCodeSource
java.lang.CharSequence,java.util.jar.JarVerifier$VerifierCodeSource
sun.misc.URLClassPath$Loader,java.util.jar.JarVerifier$VerifierCodeSource
java.io.ObjectInputStream,java.util.jar.JarVerifier$VerifierCodeSource
java.lang.ClassLoader,java.util.jar.JarVerifier$VerifierCodeSource
java.lang.Class,java.util.jar.JarVerifier$VerifierCodeSource
java.net.URI,java.net.URLStreamHandler
java.lang.CharSequence,java.net.URLStreamHandler
java.io.PrintWriter,java.net.URLStreamHandler
java.io.ObjectStreamClass$EntryFuture,java.net.URLStreamHandler
java.lang.Throwable,java.net.URLStreamHandler
java.util.Locale,java.net.URLStreamHandler
java.lang.Object,java.net.URLStreamHandler
java.security.AccessControlContext,java.net.URLStreamHandler
java.net.URLStreamHandlerFactory,java.net.URLStreamHandler
java.net.URL,java.net.URLStreamHandler
java.io.ObjectInputStream$GetFieldImpl,java.net.URLStreamHandler
java.lang.String,java.net.URLStreamHandler
java.security.ProtectionDomain,java.net.URLStreamHandler
sun.misc.Unsafe,java.net.URLStreamHandler
java.io.ObjectInputStream,java.net.URLStreamHandler
sun.misc.URLClassPath,java.net.URLStreamHandler
sun.misc.URLClassPath$JarLoader,java.net.URLStreamHandler
sun.security.util.Debug,java.net.URLStreamHandler
java.lang.Thread,java.net.URLStreamHandler
java.io.ObjectStreamClass,java.net.URLStreamHandler
java.lang.ClassLoader,java.net.URLStreamHandler
java.math.BigInteger,java.net.URLStreamHandler
java.lang.Class,java.net.URLStreamHandler
sun.util.locale.BaseLocale,sun.util.locale.BaseLocale$Key
java.lang.CharSequence,sun.util.locale.BaseLocale$Key
java.io.PrintWriter,sun.util.locale.BaseLocale$Key
java.lang.Throwable,sun.util.locale.BaseLocale$Key
java.lang.Object,sun.util.locale.BaseLocale$Key
java.util.Locale,sun.util.locale.BaseLocale$Key
sun.util.locale.InternalLocaleBuilder,sun.util.locale.BaseLocale$Key
sun.util.locale.BaseLocale$Cache,sun.util.locale.BaseLocale$Key
java.util.Locale$Builder,sun.util.locale.BaseLocale$Key
java.lang.String,sun.util.locale.BaseLocale$Key
java.net.URI,java.util.regex.Pattern$Bound
java.io.PrintWriter,java.util.regex.Pattern$Bound
java.io.ObjectStreamClass$EntryFuture,java.util.regex.Pattern$Bound
java.lang.Throwable,java.util.regex.Pattern$Bound
java.lang.Object,java.util.regex.Pattern$Bound
java.util.Locale,java.util.regex.Pattern$Bound
java.security.AccessControlContext,java.util.regex.Pattern$Bound
java.io.ObjectInputStream$GetFieldImpl,java.util.regex.Pattern$Bound
java.net.URL,java.util.regex.Pattern$Bound
java.security.ProtectionDomain,java.util.regex.Pattern$Bound
java.lang.String,java.util.regex.Pattern$Bound
