Id,Label,class,methods,constructors,public methods,private methods,static methods,abstract methods,native methods,synchronized methods,final methods,members,public members,private members,protected members,synchronized members,final members,interface classes,abstract classes,directly associated classes,indirectly associated classes,class size,connections
org.w3c.dom.DocumentType,DocumentType,org.w3c.dom.DocumentType,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,2,2,3,640,7,10
java.util.TreeMap$NavigableSubMap$DescendingSubMapEntryIterator,DescendingSubMapEntryIterator,java.util.TreeMap$NavigableSubMap$DescendingSubMapEntryIterator,3,1,3,0,0,0,0,0,1,1,0,0,0,0,1,1,3,4,645,4,34
javax.security.auth.Subject$ClassSet,ClassSet,javax.security.auth.Subject$ClassSet,4,1,3,1,0,0,0,0,1,4,0,3,0,0,1,2,3,6,627,8,2
sun.text.normalizer.UCharacterProperty,UCharacterProperty,sun.text.normalizer.UCharacterProperty,9,1,9,0,4,0,0,0,11,22,7,10,0,0,11,0,0,7,638,31,21
java.awt.PageAttributes,PageAttributes,java.awt.PageAttributes,24,3,24,0,0,0,0,0,0,6,0,6,0,0,0,1,1,9,630,31,469
sun.util.locale.LanguageTag,LanguageTag,sun.util.locale.LanguageTag,38,1,31,7,23,0,0,0,5,12,4,8,0,0,5,2,2,9,620,50,2418
java.lang.reflect.Field,Field,java.lang.reflect.Field,42,1,31,9,1,0,0,0,0,12,0,12,0,0,0,6,6,14,620,55,2442
java.net.URI,URI,java.net.URI,103,6,30,38,66,0,0,0,47,64,0,62,0,0,47,2,2,14,620,169,2438
sun.rmi.server.UnicastRef,UnicastRef,sun.rmi.server.UnicastRef,16,2,11,1,2,0,0,0,2,3,2,0,1,0,2,5,7,16,707,20,6
java.net.URLClassLoader,URLClassLoader,java.net.URLClassLoader,17,5,7,3,5,0,0,0,2,3,0,3,0,0,2,2,6,20,632,21,11
java.util.Collections,Collections,java.util.Collections,69,1,55,8,69,0,0,0,11,12,3,9,0,0,11,13,13,52,663,81,48
java.lang.Throwable$WrappedPrintWriter,WrappedPrintWriter,java.lang.Throwable$WrappedPrintWriter,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,4,620,3,2411
java.io.ObjectStreamClass,ObjectStreamClass,java.io.ObjectStreamClass,94,2,8,22,48,0,2,0,4,30,1,29,0,0,4,2,2,28,620,125,2417
java.util.logging.Level,Level,java.util.logging.Level,9,2,8,1,1,0,0,0,13,15,9,6,0,0,13,1,1,6,621,25,48
java.lang.ThreadLocal$ThreadLocalMap$Entry,Entry,java.lang.ThreadLocal$ThreadLocalMap$Entry,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,620,1,2415
java.awt.MenuBar,MenuBar,java.awt.MenuBar,22,1,14,3,1,0,1,0,2,6,0,4,0,0,2,3,5,17,1177,30,463
java.lang.ConditionalSpecialCasing$Entry,Entry,java.lang.ConditionalSpecialCasing$Entry,5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,622,10,2
java.sql.SQLPermission,SQLPermission,java.sql.SQLPermission,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,620,1,1
java.util.concurrent.Executors$RunnableAdapter,RunnableAdapter,java.util.concurrent.Executors$RunnableAdapter,1,1,1,0,0,0,0,0,2,2,0,0,0,0,2,2,2,4,636,4,15
java.lang.String,String,java.lang.String,72,16,66,3,16,0,1,0,6,7,1,6,0,0,6,4,5,12,620,82,2785
java.awt.image.LookupTable,LookupTable,java.awt.image.LookupTable,3,1,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,620,6,4
java.beans.beancontext.BeanContextServicesSupport$BCSSServiceProvider,BCSSServiceProvider,java.beans.beancontext.BeanContextServicesSupport$BCSSServiceProvider,1,1,0,0,0,0,0,0,1,2,0,1,1,0,1,2,2,4,657,4,6
java.net.ProtocolException,ProtocolException,java.net.ProtocolException,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,1
java.util.regex.Pattern$TreeInfo,TreeInfo,java.util.regex.Pattern$TreeInfo,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,620,5,2412
sun.rmi.transport.WeakRef,WeakRef,sun.rmi.transport.WeakRef,5,2,4,1,0,0,0,0,0,2,0,2,0,0,0,0,0,2,620,7,9
sun.awt.datatransfer.DataTransferer$DataFlavorComparator,DataFlavorComparator,sun.awt.datatransfer.DataTransferer$DataFlavorComparator,1,4,1,0,0,0,0,0,12,12,0,11,1,0,12,1,3,7,1177,13,463
java.lang.management.ClassLoadingMXBean,ClassLoadingMXBean,java.lang.management.ClassLoadingMXBean,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,662,6,2
javax.swing.event.MenuDragMouseListener,MenuDragMouseListener,javax.swing.event.MenuDragMouseListener,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,1,2,1182,5,16
java.sql.PreparedStatement,PreparedStatement,java.sql.PreparedStatement,55,0,55,0,0,55,0,0,0,0,0,0,0,0,0,11,14,22,649,56,13
java.lang.Shutdown$Lock,Lock,java.lang.Shutdown$Lock,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,623,0,3
java.nio.channels.FileChannel$MapMode,MapMode,java.nio.channels.FileChannel$MapMode,1,1,1,0,0,0,0,0,4,4,3,1,0,0,4,0,1,4,620,5,2423
sun.font.LayoutPathImpl$SegmentPath,SegmentPath,sun.font.LayoutPathImpl$SegmentPath,14,1,8,5,2,0,0,0,0,2,0,1,0,0,0,1,3,11,657,16,18
java.sql.Clob,Clob,java.sql.Clob,13,0,13,0,0,13,0,0,0,0,0,0,0,0,0,1,5,7,624,13,15
java.sql.Array,Array,java.sql.Array,11,0,11,0,0,11,0,0,0,0,0,0,0,0,0,2,2,5,649,11,13
javax.swing.ComponentInputMap,ComponentInputMap,javax.swing.ComponentInputMap,5,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,1293,6,7
sun.java2d.loops.MaskBlit$General,General,sun.java2d.loops.MaskBlit$General,2,1,2,0,0,0,0,0,0,6,0,0,0,0,0,2,4,9,1177,9,472
java.lang.reflect.Member,Member,java.lang.reflect.Member,4,0,4,0,0,4,0,0,2,2,2,0,0,0,2,0,0,2,620,6,2428
java.util.GregorianCalendar,GregorianCalendar,java.util.GregorianCalendar,47,8,21,24,2,0,0,0,20,32,2,20,0,0,20,0,4,12,623,79,1
sun.awt.image.OffScreenImageSource,OffScreenImageSource,sun.awt.image.OffScreenImageSource,7,2,5,2,0,0,0,0,0,5,0,1,0,0,0,2,2,5,1177,13,465
sun.util.locale.InternalLocaleBuilder,InternalLocaleBuilder,sun.util.locale.InternalLocaleBuilder,19,1,15,3,1,0,0,0,2,9,0,8,0,0,2,3,3,13,620,28,2436
java.nio.channels.MulticastChannel,MulticastChannel,java.nio.channels.MulticastChannel,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,5,624,4,52
java.awt.dnd.DragSourceMotionListener,DragSourceMotionListener,java.awt.dnd.DragSourceMotionListener,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1177,2,471
java.util.concurrent.Executors,Executors,java.util.concurrent.Executors,20,1,20,0,20,0,0,0,0,0,0,0,0,0,0,7,7,16,636,20,15
sun.font.LayoutPathImpl$SegmentPathBuilder,SegmentPathBuilder,sun.font.LayoutPathImpl$SegmentPathBuilder,7,1,6,1,0,0,0,0,1,7,0,6,0,0,1,0,1,4,657,14,15
java.util.ServiceConfigurationError,ServiceConfigurationError,java.util.ServiceConfigurationError,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,620,1,4
org.w3c.dom.Comment,Comment,org.w3c.dom.Comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,640,1,11
java.nio.ByteBufferAsDoubleBufferL,ByteBufferAsDoubleBufferL,java.nio.ByteBufferAsDoubleBufferL,12,2,11,0,0,0,0,0,3,3,0,0,2,0,3,0,2,3,620,15,1
javax.swing.JRootPane,JRootPane,javax.swing.JRootPane,33,1,24,0,0,0,0,0,12,21,9,4,7,0,12,2,7,17,1293,55,17
java.awt.SystemColor,SystemColor,java.awt.SystemColor,4,1,1,3,1,0,0,0,54,57,53,4,0,0,54,1,2,6,1178,62,1
sun.text.normalizer.Trie,Trie,sun.text.normalizer.Trie,11,2,0,1,0,3,0,0,14,20,0,3,17,0,14,1,2,6,624,31,26
java.nio.charset.CharsetEncoder,CharsetEncoder,java.nio.charset.CharsetEncoder,24,2,16,2,0,1,0,0,8,14,0,13,0,0,8,1,5,10,620,38,2461
