Id,Connections
java.util.regex.Pattern$Conditional,6
java.text.ParsePosition,9
java.util.regex.Pattern$First,6
java.util.regex.Pattern$LastNode,6
java.net.UnknownServiceException,13
java.nio.file.attribute.GroupPrincipal,36
java.security.MessageDigest,41
java.security.Provider$Service,23
java.io.FileFilter,33
java.io.ObjectOutputStream$HandleTable,16
sun.util.locale.BaseLocale,15
java.util.HashMap$1,14
java.text.MessageFormat,9
java.nio.channels.SeekableByteChannel,38
java.util.regex.Pattern$Slice,6
java.nio.file.attribute.FileTime$DaysAndNanos,39
java.lang.Long,18
java.nio.MappedByteBuffer,38
java.util.jar.JarException,34
java.nio.file.attribute.FileStoreAttributeView,37
java.util.LinkedHashMap$LinkedHashIterator,15
java.util.jar.JarVerifier$VerifierStream,33
java.util.regex.Pattern$Dot,6
java.text.Format$Field,12
java.lang.Character$CharacterCache,11
sun.reflect.MethodAccessor,19
java.lang.Cloneable,61
java.util.ArrayList$Itr,34
sun.reflect.generics.tree.TypeTree,19
java.util.regex.Pattern$SliceI,6
java.lang.Character$UnicodeScript,15
java.nio.file.attribute.FileAttributeView,36
java.util.regex.Pattern$BnM,6
java.io.ObjectStreamClass$WeakClassKey,16
java.util.regex.Pattern$Category,6
java.util.Set,61
sun.util.LocaleServiceProviderPool$LocalizedObjectGetter,15
java.util.LinkedHashMap,21
sun.util.locale.InternalLocaleBuilder$CaseInsensitiveChar,9
java.util.concurrent.TimeUnit,42
java.io.ObjectStreamException,32
java.util.Formatter$DateTime,5
java.lang.CharSequence,100
java.lang.Iterable,42
java.lang.Long$LongCache,17
java.nio.charset.CoderResult$Cache,10
java.lang.ThreadGroup,30
java.util.regex.Pattern$LazyLoop,6
java.nio.file.spi.FileSystemProvider,35
java.nio.ByteOrder,46
java.io.SerialCallbackContext,26
java.util.regex.Pattern$CIBackRef,6
java.util.regex.Pattern$CharProperty,9
java.io.DataInputStream,27
java.io.ObjectInputStream$ValidationList$Callback,28
java.nio.file.WatchService,38
java.util.regex.Pattern$StartS,6
sun.util.calendar.BaseCalendar,9
java.security.cert.CertificateFactory,21
java.io.ObjectInputStream$ValidationList,28
sun.reflect.generics.tree.TypeSignature,18
java.util.regex.Pattern$LastMatch,6
java.util.HashMap$KeyIterator,14
java.util.Formatter$BigDecimalLayoutForm,8
java.io.SerializablePermission,27
java.util.concurrent.ConcurrentHashMap$Values,30
java.io.UnsupportedEncodingException,38
sun.util.LocaleServiceProviderPool$AllAvailableLocales,10
java.util.SortedMap,12
java.lang.Runnable,38
java.util.regex.Pattern$Pos,6
java.lang.reflect.Field,23
java.lang.Enum,27
java.io.ObjectOutput,29
java.text.CharacterIterator,11
java.net.SocketAddress,13
java.util.regex.Pattern$Node,20
java.lang.Object,254
java.util.Calendar,8
java.util.Formatter$Conversion,5
java.util.regex.Pattern$Loop,7
java.io.ObjectInputStream$Caches,26
java.util.Vector$ListItr,30
java.util.ArrayList$SubList,34
java.math.BigDecimal$LongOverflow,7
java.lang.ref.Reference,30
java.security.Provider$UString,22
sun.security.util.ManifestEntryVerifier$SunProviderHolder,34
java.nio.charset.spi.CharsetProvider,7
java.util.regex.Pattern$TreeInfo,26
java.io.ObjectOutputStream$Caches,15
java.io.PrintWriter,4
sun.reflect.generics.tree.ClassSignature,11
java.io.Flushable,40
java.util.Enumeration,49
java.io.IOException,128
java.io.ObjectOutputStream,64
sun.reflect.generics.factory.GenericsFactory,25
java.security.cert.CertificateFactorySpi,21
java.util.spi.LocaleNameProvider,8
java.security.SecureRandom,35
java.text.FieldPosition$1,10
sun.reflect.generics.tree.Wildcard,13
java.util.regex.Pattern$BitClass,7
java.net.Proxy$Type,14
java.nio.LongBuffer,40
java.net.InetAddress$Cache,15
java.util.regex.Pattern$CharPropertyNames$CloneableProperty,8
java.util.concurrent.ConcurrentHashMap$EntryIterator,30
java.lang.ClassLoader,32
java.io.ObjectOutputStream$DebugTraceInfoStack,15
java.io.ObjectInputValidation,28
java.lang.reflect.Member,23
java.math.RoundingMode,9
java.text.DateFormatSymbols$DateFormatSymbolsGetter,9
java.util.regex.Pattern$BehindS,6
java.util.Queue,34
java.security.MessageDigest$Delegate,36
java.util.regex.Pattern$Bound,6
java.lang.SecurityManager,10
sun.reflect.generics.tree.MethodTypeSignature,22
java.io.DataOutput,38
java.io.Closeable,52
java.lang.Thread$Caches,28
java.util.LinkedList$1,33
sun.reflect.annotation.AnnotationType,9
sun.reflect.generics.tree.FormalTypeParameter,13
java.io.ObjectStreamClass$Caches,16
java.net.InetAddress$CacheEntry,14
sun.reflect.generics.tree.FieldTypeSignature,16
java.lang.ref.ReferenceQueue$Null,18
java.text.MessageFormat$Field,9
java.nio.charset.CodingErrorAction,10
java.lang.Boolean,24
java.nio.file.Watchable,37
java.nio.channels.FileChannel,39
java.security.PublicKey,22
java.util.Hashtable,42
java.util.Random,24
java.util.concurrent.Callable,37
java.util.Hashtable$1,34
java.util.concurrent.ConcurrentHashMap$WriteThroughEntry,30
sun.security.util.ManifestDigester$Position,34
java.util.HashMap$Values,14
java.text.AttributedCharacterIterator$Attribute,11
java.nio.channels.ByteChannel,38
java.util.Formatter$FormatSpecifier$BigDecimalLayout,6
java.io.ObjectStreamClass,36
sun.reflect.generics.visitor.Visitor,12
java.io.ObjectStreamClass$FieldReflector,16
java.text.Format,11
java.util.regex.Pattern$BmpCharProperty,6
java.io.OutputStream,50
java.io.OutputStreamWriter,4
java.util.RandomAccess,36
sun.reflect.generics.tree.BottomSignature,13
java.util.Hashtable$EntrySet,34
java.util.Date,12
java.util.HashMap$EntryIterator,14
java.util.LinkedHashMap$KeyIterator,15
java.util.concurrent.ConcurrentHashMap$Segment,30
java.io.InvalidObjectException,33
java.util.HashMap$KeySet,14
java.lang.Thread$UncaughtExceptionHandler,29
java.util.concurrent.ConcurrentHashMap$HashIterator,30
java.util.regex.Pattern$Utype,6
java.security.SecureRandomSpi,35
java.io.FilenameFilter,33
java.util.regex.Pattern$Block,6
java.util.Hashtable$Enumerator,34
java.lang.reflect.ParameterizedType,10
java.lang.Class$EnclosingMethodInfo,8
java.security.Guard,31
java.util.regex.Pattern$SingleU,6
java.io.ObjectStreamField,16
java.lang.Class,70
java.util.HashMap$HashIterator,14
sun.misc.URLClassPath$JarLoader,31
java.net.URLStreamHandlerFactory,10
java.util.Locale$Category,8
java.lang.Class$MethodArray,9
java.net.URI$Parser,37
java.nio.file.DirectoryStream$Filter,37
sun.misc.JarIndex,32
java.security.MessageDigestSpi,37
java.util.Stack,30
java.nio.channels.ReadableByteChannel,40
sun.security.util.Debug,36
java.lang.ThreadLocal$1,30
java.io.ObjectStreamClass$ClassDataSlot,16
java.net.ContentHandlerFactory,13
